CountyFIPS,CountyName,StateAbbr,CASTHMA_AdjPrev,CASTHMA_Category,pred_wght_pm25,pred_wght_no2,pred_wght_o3,pred_wght_so2,CSMOKING_AdjPrev,Geolocation
13059,Clarke,GA,9.7,Medium,7.6044580993561,5.083422929148025,40.44694703137492,0.6332732656693005,18.8,POINT (-83.36691008 33.95063302)
21201,Robertson,KY,10.4,High,5.975662670113259,1.521441600253589,42.419875554982674,0.3543849078142585,26.7,POINT (-84.05156737 38.51893291)
37081,Guilford,NC,9.5,Medium,7.291839810205453,5.636498473028655,44.61552190623269,0.5305160790058923,18.7,POINT (-79.78836384 36.07945683)
13017,Ben Hill,GA,10.6,High,7.559575730386114,2.0887216219083413,37.09909979013407,0.595390955845327,24.3,POINT (-83.22013115 31.75971358)
17059,Gallatin,IL,10.2,Medium,8.465134248555824,2.8671813919206315,43.8331766980441,0.9599482555394331,23.7,POINT (-88.22876649 37.76357747)
45075,Orangeburg,SC,11.2,High,7.120562106831945,2.784815738748307,37.16944452699056,0.6052970792765912,20.6,POINT (-80.79999076 33.43902373)
19101,Jefferson,IA,7.9,Low,7.853969591591739,3.0431543874289204,41.04601118504781,0.7688696763981061,17.1,POINT (-91.94861765 41.03163516)
18063,Hendricks,IN,9.1,Low,8.98176015471074,5.631131068836889,42.31532319891906,0.8209183190374706,16.5,POINT (-86.5100815 39.76976097)
18087,LaGrange,IN,10.8,High,7.487359289389502,3.2535026094010835,41.802760026193226,0.49792727639186163,25.2,POINT (-85.42669106 41.64234778)
26011,Arenac,MI,11.2,High,5.555310217614477,3.0423400127449667,38.87804014002017,0.628357400135581,24.1,POINT (-83.8948098 44.0650676)
47149,Rutherford,TN,9.1,Low,7.768314935475586,5.1817506097717745,41.73871882664571,0.7206104642839367,19.2,POINT (-86.41636678 35.843149)
41067,Washington,OR,9.3,Low,7.413333864684876,5.25365728882743,33.603838236257396,0.5923048313552361,12.2,POINT (-123.0986576 45.56003819)
20199,Wallace,KS,9.0,Low,5.990394961447296,3.3476683344695872,47.36683251344317,0.9307288282623798,16.1,POINT (-101.7637347 38.91690628)
39169,Wayne,OH,10.0,Medium,7.777179856152327,4.068306179176024,42.72079476821117,0.6586905467164081,22.9,POINT (-81.88796475 40.82944912)
40057,Harmon,OK,9.9,Medium,6.304194702927998,3.1872166020404578,48.16276768062391,0.6809077234093969,18.4,POINT (-99.84629197 34.74416868)
50009,Essex,VT,10.9,High,3.3659456873012523,1.7398345607765686,33.984400748111774,0.6798514673349842,22.7,POINT (-71.73626127 44.72809803)
27077,Lake of the Woods,MN,9.2,Low,5.642257273921544,1.6395108113996981,33.82549457655708,0.857624486185616,20.2,POINT (-94.90498653 48.77046358)
48417,Shackelford,TX,8.8,Low,5.466346044700085,2.8060395630122095,45.48847551810462,0.43581079744786105,18.3,POINT (-99.35408721 32.73577357)
13157,Jackson,GA,9.0,Low,7.458375528522386,3.3336029048406837,40.323379479242156,0.5920914948948289,20.3,POINT (-83.56535838 34.1337491)
56019,Johnson,WY,9.1,Low,3.8919438268177693,4.203138864493824,45.9521369436938,0.31546864630665084,16.7,POINT (-106.584613 44.03883834)
36003,Allegany,NY,10.5,High,5.6772252660463005,2.3152025748575746,39.83551467054827,0.7133768713295416,21.7,POINT (-78.02737854 42.2573449)
37175,Transylvania,NC,9.3,Low,5.678673826678808,1.9005524663124052,41.261358233076166,0.9316085405682677,20.1,POINT (-82.79839492 35.20198612)
12027,DeSoto,FL,8.8,Low,7.261617091204136,2.1100619136653296,32.82661738755977,0.7381650801859001,22.8,POINT (-81.80934054 27.1865581)
22033,East Baton Rouge,LA,9.0,Low,8.746574337768068,7.51824756191349,36.94867591600084,0.6226761702652432,19.0,POINT (-91.09544506 30.53796299)
